회관_ID,주소,좌표,공유_회중_수,함께_사용하는_회중_목록
"a2c0efa9-7227-58e6-a228-2be44caadb1d","전남 나주시 대호길 22-21 (성북동 17-7)","35.037574, 126.720489",2,"전남나주중앙 (📞 01031005857) | 전남나주동부 (📞 010-9128-7869)"
"9da0ce91-c787-588a-93e8-bd78d97272e1","광주 광산구 수남길 52 (장수동 424-75)","35.184162, 126.783285",4,"광주하남 (📞 062-952-1540) | 광주신가 (📞 062-952-1540) | 광주월곡 (📞 062) 952-1540) | [집단] 광주월곡러시아어"
"5b792259-60d8-52df-a6f9-ec9149582c6b","전남 화순군 화순읍 덕음로 980 (삼천리 394-4)","35.047638, 126.98613",2,"전남이양 (📞 0613738996) | 전남화순 (📞 061-373-1914)"
"3013a052-7218-51c6-829f-1ce3ab462cdf","광주 동구 화산로238번길 18-8 (용산동 456)","35.115213, 126.920948",2,"광주효덕 (📞 062-226-1914) | 광주방림 (📞 062 226 1914)"
"46ac5a26-3470-502e-9c32-57616eb7af54","광주 동구 화산로238번길 18-12 (용산동 453)","35.115159, 126.920354",2,"광주양림 (📞 062-234-1423) | 광주학동 (📞 062-234-1423)"
"41df5945-5ae0-5005-b518-9c3386632d52","광주 남구 봉주5길 33 (주월동 697-1)","35.138657, 126.889679",3,"광주월산 (📞 062-671-1914) | 광주백운 (📞 062-671-1914, 070-4214-0030) | 광주화정남부 (📞 062-671-1914)"
"05bc0ef4-f123-50f9-8390-4147664dc105","광주 북구 무진성길64번길 13 (두암동 973-4)","35.162588, 126.939986",3,"광주문화 (📞 010-4451-4422) | 광주지산 (📞 010-2058-7962) | 광주산수 (📞 062-262-1914)"
"3b5c04a7-594a-5c66-840d-1741574f70b2","광주 동구 무등로304번길 16 (계림동 842)","35.161788, 126.915366",3,"광주경양 (📞 010-9614-4321) | 광주동부 (📞 010-4693-0790) | 광주남부 (📞 0623651914)"
"f4e752dd-8f5e-5037-86a2-f861b2e797ac","광주 서구 풍서좌로299번길 21 (세하동 153-4)","35.126743, 126.837853",3,"광주쌍촌북부 (📞 010-3676-7121) | 광주쌍촌남부 (📞 062-374-1914) | [집단] 광주쌍촌북부중국어"
"13fb761b-6e21-5dda-ae82-87053d5e59a8","광주 서구 화운로193번길 9 (화정동99-2)","35.155906, 126.875675",3,"광주광천 (📞 062-383-1914) | 광주화정북부 (📞 0623831914) | 광주수어 (📞 062-383-1914)"
"8e8cd042-a897-5169-89c1-a128acaba281","광주 북구 서림로 73-7 (임동 135-136)","35.165361, 126.896023",3,"광주서림 (📞 010-2253-1935) | 광주오치 (📞 010-7458-1914) | 광주영어 (📞 010-9619-3621)"
"13ff1306-8490-5fe8-a49f-c6fa90dfad2a","광주 북구 비엔날레로 30 (운암동 128-7)","35.175396, 126.887257",1,"광주신안 (📞 062-531-1914)"
"61b1aa70-a380-5028-bb97-69b588069009","광주 북구 대자로 48-13 (운암동 442-3)","35.172721, 126.87795",3,"광주서산 (📞 010-5095-1313) | 광주동림 (📞 062-529-9235) | 광주운암 (📞 010-7124-8890)"
"03c6ada4-f85a-51c7-acba-93d302136897","광주 광산구 금봉로44번길 53-10 (소촌동 18-6)","35.150848, 126.805291",4,"광주송정동부 (📞 062-942-2611) | 광주송정중앙 (📞 062-942-2611) | 광주송정서부 (📞 010-6280-1935) | [집단] 광주송정서부베트남어"
"8d101971-9ceb-52f7-a8a9-59e6ac6ca880","전남 광양시 남산4길 26 (광영동 724-2)","34.960061, 127.725216",1,"전남광양동부 (📞 061-791-1914)"
"7c27fd8a-a5ed-528d-9bf3-ea1d165bda01","경남 하동군 하동읍 연화길 50-11 (읍내리 560-3)","35.076144, 127.751708",1,"경남하동 (📞 01051917581)"
"c771a84f-91bb-5f1b-a81a-65a72ea06669","전남 광양시 중동1길 20 (중동 1361-24)","34.939771, 127.690735",2,"전남광양중부 (📞 0617941914) | 전남광양서부 (📞 010-8530-0730)"
"cc80b42d-1bc5-520d-9604-fd9ee6f6c82f","전남 광양시 광양읍 서평7길 16 (구산리 779-2)","34.981087, 127.578072",3,"전남광양북부 (📞 061-761-6525) | 전남순천수어 (📞 01029595997) | 전남광양남부 (📞 061-761-6525)"
"d820fb96-5ef6-5366-a1cc-d4472e61e193","전남 순천시 상성길 249-64 (연향동 302-4)","34.941751, 127.531834",4,"전남순천조례 (📞 061-721-6080) | 전남순천금당 (📞 061-721-6080) | 전남순천동부 (📞 061-721-6080) | [집단] 전남순천조례영어"
"6fe7c735-6110-582f-86b7-0b2cbd697d18","경남 사천시 양정기길 104 (신벽동 480-10)","34.978616, 128.063789",2,"경남진교 (📞 0558821914) | 경남사천삼천포 (📞 055-832-1914)"
"90ca09eb-dc58-595f-bd9b-b14183557586","경남 사천시 사천읍 동문로 89","35.08603, 128.097007",2,"경남사천공항 (📞 010-6560-4950) | 경남사천중앙 (📞 010-2064-5257)"
"7233549a-e8e0-53d2-b043-71d2ee5cf901","경남 진주시 내동면 순환로 425-36 (독산리 525)","35.164638, 128.06473",3,"경남진주북부 (📞 01048564744) | 경남진주강남 (📞 01038940109) | 경남진주서부 (📞 010-3161-1914)"
"d0105027-6ba3-5cc5-9d53-ab229fa3eb0d","경남 진주시 하대로34번길 11-24 (하대동 452)","35.191194, 128.113172",3,"경남진주남부 (📞 010-7444-0474) | 경남진주동부 (📞 055-753-1914) | [집단] 경남진주동부수어"
"494051fc-4e99-5834-a4e2-867b232701c3","경남 남해군 경상남도 남해군 남해읍 남해대로 2983-12 (경상남도 남해군 남해읍 심천리 826)","34.853836, 127.892536",2,"경남삼동 (📞 055-867-8481) | 경남남해 (📞 055-864-1914)"
"dfb6506f-be43-5eeb-a308-f29141fc48a3","경남 고성군 고성읍 동외로164번길 36 (동외리 164-4)","34.97582, 128.328015",1,"경남고성 (📞 055-672-6956)"
"fc14828a-93eb-5f3a-8e6e-089ff73b1214","경남 창원시 마산합포구 진동면 요장1길 29 혜창한마음비치 상가 201 (요장리 393-2)","35.111747, 128.490833",1,"경남창원진동 (📞 055-271-1912)"
"da4d4891-01a8-58c7-b91e-13cae815ace0","경남 통영시 광도면 향교옆길 87 (죽림리 430)","34.87623, 128.410324",4,"경남통영동부 (📞 010-9961-1914) | 경남통영서부 (📞 055-644-4023) | 경남통영수어 (📞 01022064416) | [집단] 경남통영서부테툰딜리어"
"11a6b9e4-daaf-5004-b6a1-3eda7009efdc","경남 거제시 옥포로20길 37-1 (옥포동 522-12)","34.895161, 128.694839",3,"경남거제옥포동부 (📞 010-5960-0323) | 경남거제옥포서부 (📞 010-5116-1935) | [집단] 경남거제옥포동부러시아어"
"845cb6c4-5d94-5513-9732-2e015082728a","부산 강서구 신호산단3로 66 202호 (신호동 214 삼성빌딩)","35.087196, 128.880115",2,"경남창원남문 (📞 010-4423-2342) | 부산녹산 (📞 051-941-1914)"
"203b1fd3-33b3-513c-82fb-9b5797d7a1ca","경남 거제시 양정1길 2 (양정동 190-3)","34.866226, 128.648539",4,"경남거제장승포 (📞 010-5590-7332) | 경남거제고현동부 (📞 010-6487-9856) | 경남거제고현서부 (📞 010-3572-3893) | [집단] 경남거제고현서부베트남어"
"7f4b8b2c-ab42-5e98-9585-271a10ff9594","경남 거제시 거제면 동상3길 38 (동상리 258)","34.851386, 128.596666",1,"경남거제중앙 (📞 010-7934-5058)"
"d49e191f-1138-52e4-885d-5b248a330cd2","부산 영도구 태종로 382 동구빌딩 601호 (청학동 105-3)","35.092864, 129.065283",2,"부산청학 (📞 010-6797-3537) | 부산영선 (📞 +821045971914)"
"a0ceb8a2-9f59-5578-b73f-cc25dda94426","부산 중구 보수북길 5 그린빌 아파트 201호 (보수동1가 24-2)","35.106702, 129.023316",3,"부산대신 (📞 010-4339-3446) | 부산남부수어 (📞 0512422787) | 부산충무 (📞 010-2062-1978)"
"e3bd60e5-b965-52cd-ba5c-bfc1555e0e80","부산 사하구 서포로30번길 9, 제702, 703호 (구평동 506-1 더스퀘어구평)","35.08249, 128.98616",3,"부산신평 (📞 01022564884) | 부산감천 (📞 01088632854) | 부산다대 (📞 010-6319-5752)"
"363f9a73-8525-5ef7-9000-25a949827f65","부산 남구 동명로92번길 91 미주아파트 상가 201호 (용호동 480-2)","35.11647, 129.10839",2,"부산용호북부 (📞 010-3266-2302) | 부산용호남부 (📞 051-623-1914)"
"e72d5c9a-f7fe-5237-a052-d5cbbb78a3b1","부산 남구 수영로 237 801호 (대연동 1741-8 대연메디타워 801호)","35.135436, 129.092642",3,"부산우암 (📞 051-621-1935) | 부산영어 (📞 0517279222) | 부산대연 (📞 051-621-1914)"
"fceb72df-e686-5646-9819-273d7cd194dd","부산 부산진구 신암로66 범천LH아파트 상가 302호 (범천동 1644)","35.147467, 129.054764",3,"부산수정 (📞 010-3595-4463) | 부산중앙 (📞 051-633-1914) | 부산범천 (📞 051 633 1914)"
"5970aa20-14d1-5052-802d-74bfa8cabaff","부산 사하구 낙동대로 542 대우에덴프라자 311호 (하단동 492-2)","35.11231, 128.964981",4,"부산엄궁 (📞 051-313-1914) | 부산하단 (📞 010-2039-6315) | 부산신촌 (📞 010-8250-1088) | 부산사하 (📞 010-3800-8278)"
"089d93ca-9688-5628-9de5-749561ea3c9f","부산 부산진구 가야대로 635-12 금호그랜드타운 303호 (당감동 109-4)","35.156368, 129.041666",4,"부산당감 (📞 010-4599-3168) | 부산주례 (📞 010-9392-4815) | 부산남부중국어 (📞 01092961914) | 부산가야 (📞 01052201914)"
"4678a1b3-9c5e-5ca8-8be0-561f60203b5c","부산 수영구 장대골로7번길 45 광안유림노르웨이아침 503호 (광안동 744-32)","35.157457, 129.112763",4,"부산망미 (📞 01056620657) | 부산북부수어 (📞 010-3070-9649) | 부산수영 (📞 010-6771-1935) | 부산광안 (📞 010-3120-0404)"
"5c1d4de2-f6a1-56af-8b67-0df79961366f","부산 부산진구 연수로 62 아세만 화니-뜨 B동 상가 301호 (양정동 7-9)","35.175165, 129.077669",2,"부산연산 (📞 051-865-4395) | 부산양정 (📞 051-865-4395)"
"702d473e-aa64-53cf-a0aa-197802496a82","부산 부산진구 성지로94번길 87 초읍대우아파트 상가 201호 (초읍동 508)","35.180414, 129.057435",1,"부산연지 (📞 051-819-9566)"
"6f8b5482-78a3-5e8d-ae34-c9e806d70e98","부산 연제구 과정로344번길 22 한양상가 302호 (연산동 307-10)","35.19082, 129.092308",1,"부산연천 (📞 051-864-1914)"
"0582ddb1-1599-5807-9aed-39c8800c798d","부산 동래구 사직북로 18 대성빌딩 602호 (사직동 77-37)","35.197503, 129.060758",2,"부산사직 (📞 051-505-9799) | 부산거제 (📞 010-4804-3360)"
"5f6de156-7ee3-5dc2-930c-595ad89e9882","부산 동래구 온천천로269번길 38 (수안동 35-59)","35.197778, 129.085208",1,"부산수안 (📞 051-558-3553)"
"97f5db11-82a5-5593-85b8-415600a26b3f","부산 해운대구 송정1로 9 (송정동156-2)","35.182211, 129.198896",3,"부산해운대동부 (📞 051-703-5522(010-5112-4219)) | 부산해운대중부 (📞 010-8540-4190) | 부산해운대서부 (📞 010-4111-5599)"
"02e02875-6a2f-50cb-b090-427814c4ac75","전남 영광군 법성면 연우로2길 7-4 (법성리 806-1)","35.364926, 126.4438",1,"전남법성포 (📞 061-356-7007)"
"53369372-e29e-53e1-8855-9901a85bb40c","전북 고창군 고창읍 소반7길 15-3 (석교리 11-20)","35.441205, 126.694091",1,"전북고창 (📞 010-3982-1914)"
"39219def-6703-5c2c-818e-a7f597b508e2","전남 영광군 영광읍 신남로1길 64-9 (신하리 461-1)","35.274191, 126.496041",1,"전남영광 (📞 061-353-8620)"
"55a34490-5599-5742-ab7f-67f8fda1f504","전남 장성군 장성읍 청운12길 10 (영천리 1484-21)","35.306113, 126.785725",2,"전남장성남부 (📞 0613946086) | 전남장성북부 (📞 061 394 6086)"
"93cea97a-c636-52be-95bb-010083b842e0","전남 담양군 수북면 사창동길 65 (수북리 180)","35.299365, 126.930578",2,"전남대치 (📞 061-382-0645) | 전남담양 (📞 010-8959-8475)"
"ea78fd9c-7bbc-5369-a29f-94952d409289","전남 담양군 창평면 창평로 566-22 (창평리 557-10)","35.238369, 127.010062",1,"전남창평 (📞 0613831935)"
"d9d39d57-c5d9-5803-a43a-cf9b07e32359","전북 순창군 풍산면 풍산로 49 (죽전리 603-1)","35.324529, 127.1396",2,"전남옥과 (📞 010-8833-0876) | 전북순창 (📞 063-653-2830)"
"f58d773f-f6b3-5e92-915a-f29d2b29ae5b","광주 북구 자라봉로 33-1 청암아파트 상가 301호 (양산동 101)","35.208248, 126.877626",3,"광주양산남부 (📞 010-7150-5777) | 광주일곡 (📞 010-9601-4601) | 광주양산북부 (📞 010-3611-0579)"
"5a788c96-3fac-51cc-ae52-2963fa3146dc","광주 광산구 북문대로 500-21 (수완동 1-2)","35.201451, 126.842425",3,"광주수완 (📞 010-3690-7610) | 광주월계서부 (📞 010-4054-8551) | 광주월계동부 (📞 010-5608-0224)"
"dd3b14df-fda7-51f6-8aea-1746c2064c9b","전북 남원시 충열길 15 (동충동 392-1)","35.412762, 127.378206",5,"전북남원동부 (📞 063-631-1935) | 전북남원서부 (📞 063-625-4468) | 전북남원중앙 (📞 063-631-1935) | 전북남원남부 (📞 063-625-4468, 063-631-1935) | 전북남원수어 (📞 (영상통화)010-5243-1914)"
"cac740f9-b731-5866-ab03-c2feadac399c","전남 곡성군 곡성읍 낙동원로 43 (읍내리 618-3)","35.285488, 127.300044",1,"전남곡성 (📞 061-363-1931   010-8623-0772)"
"f181657d-6700-548b-9e66-1b518482d0e3","전남 구례군 구례읍 돌틈길 16-8 (구례읍 백련리 46-2)","35.216916, 127.461128",1,"전남구례 (📞 010-3610-3340)"
"2b68230b-564b-520e-a30a-91eaca076963","경남 산청군 산청읍 꽃봉산로100번길 12 (옥산리 216)","35.411808, 127.875199",1,"경남산청 (📞 055-974-1914)"
"de507665-f29f-5222-b976-72265eba8fc3","경남 함안군 가야읍 장터길53 안흥빌라트상가 201호 (말산리 58-83)","35.277386, 128.408178",1,"경남함안 (📞 055-582-0972)"
"8bc5da1e-5cf5-5c64-897f-8a34b1a91fde","경남 의령군 의령읍 의병로 167-10 (서동리 286-10)","35.319959, 128.25502",1,"경남의령 (📞 055-573-1935)"
"833ac468-c78f-5b44-81b3-f1cbc5b32b93","경남 창녕군 도천면 불미골길 9 (도천리 724)","35.421612, 128.512642",1,"경남남지 (📞 01057771793)"
"efa2d52f-b8fe-5498-b068-635391473a9d","경남 창원시 마산회원구 내서읍 구미길 26-21 (호계리 258-5)","35.251847, 128.52245",3,"경남칠원 (📞 010 5016 8390) | 경남창원중리 (📞 010-6644-4664) | [집단] 경남칠원네팔어"
"8b1bb8fa-0771-5fde-a7b8-b2e67c4f4ca9","경남 밀양시 상남면 평촌길 42-23 (평촌리 1032-4)","35.412269, 128.774365",2,"경남밀양하남 (📞 010-5757-8301) | 경남밀양상남 (📞 055-355-7779)"
"7199da65-c409-54c0-bad6-c360d10fa008","경남 창원시 의창구 대산면 주남로 295 (제동리 624)","35.313302, 128.694326",1,"경남창원동읍 (📞 070-8836-1435)"
"50145a9d-2bd9-57f1-8141-0d6e3ad6a0fd","경남 김해시 진영읍 진영로 265번길 149 (신용리 434)","35.303717, 128.757396",2,"경남김해진영 (📞 010-9415-2825) | 경남김해영어 (📞 010-2748-9078)"
"464b96c9-ccb5-5f6d-92c5-9564035fdaf2","경남 밀양시 용평로1길 16-7 (내일동 21-1)","35.49286, 128.760096",1,"경남밀양동부 (📞 010-2907-5753)"
"3c767147-d749-5885-aa6d-f5676aa440cf","경남 창원시 성산구 원이대로393번길 25 희연빌딩 3015호 (반지동 78)","35.239978, 128.662547",4,"경남창원명서 (📞 010-5165-3123) | 경남창원서부 (📞 010-6257-3189) | 경남창원중앙 (📞 010-3368-8335) | 경남창원소답 (📞 01083412899)"
"6d9ce98a-d6eb-57a2-a662-8cbc6b66d070","경남 창원시 성산구 토월로44번길 16 (상남동 59-1)","35.216321, 128.682959",5,"경남창원남양 (📞 055-266-1914) | 경남창원경화 (📞 055-551 -1914) | 경남창원석동 (📞 01028455830) | 경남창원남부 (📞 055-266-1914) | 경남창원동부 (📞 010-7222-9233)"
"551aba2c-0bcf-50bd-8a93-856477961a15","경남 김해시 장유로 99-26 (부곡동 656)","35.212158, 128.800775",3,"경남김해장유동부 | 경남김해장유서부 (📞 0553130368) | 경남김해장유남부 (📞 0553130368)"
"c84e138a-381f-50ed-b91a-7d1a21f2403c","경남 김해시 금관대로1354번길 5-19 (내동 1073-2)","35.243842, 128.86698",4,"경남김해내동 (📞 010-5596-5101) | 경남김해북부 (📞 010-8551-2465) | 경남김해외동 (📞 055 328 1914) | [집단] 경남김해외동중국어"
"21990982-c7e3-58f0-a8be-1e1e9e4f7749","경남 김해시 외동 1263-3, 초이스빌딩 606, 607호","35.230588, 128.870285",4,"경남김해중부 (📞 한국어 - 01099080244) | 경남김해러시아어 (📞 010-3570-0662) | 경남김해서부 (📞 055-334-1935) | [집단] 경남김해서부네팔어"
"bb99cb48-7ac0-566a-8e5e-0b706c193e37","경남 창원시 마산합포구 성호서11길 29 (성호동 9)","35.209988, 128.568858",7,"경남창원석전 (📞 01029617587) | 경남창원월영 (📞 055-299-1914, 055-221-5459) | 경남창원구암 (📞 055-299-1914) | 경남창원자산 (📞 010-7646-7070) | 경남창원수어 (📞 010-7417-0500) | 경남창원교방 (📞 010-5364-1914) | 경남창원양덕 (📞 010-4856-4277)"
"3e31da7e-4b2c-5922-b1de-02b2eb41b628","경남 양산시 고향의봄12길 68 (신기동 134-4)","35.353472, 129.047838",2,"경남양산동부 (📞 010-7257-1093) | 경남양산북부 (📞 010-4201-5412)"
"f1431b0e-3239-5a9c-a4e6-c2ca70e0e3d1","경남 양산시 평산중앙4길 20 새진흥7차아파트 상가 201호 (평산동 51-5)","35.385015, 129.151175",1,"경남양산덕계 (📞 010 6599 1935)"
"9aa7205c-5da5-5f0f-b6af-9d1232b886a5","경남 양산시 물금읍 증산역로 180 양산 네오앤스타 803, 804호 (증산리 1776-4)","35.308427, 129.009279",5,"부산금곡북부 (📞 01052702015) | 경남양산서부 (📞 010-3028-1440) | 부산금곡남부 (📞 01096071935) | 경남양산범어 (📞 01028635098) | [집단] 부산금곡북부영어"
"99e1a192-490c-5557-98c2-30702d8bba73","경남 양산시 삼호9길 13-13 (삼호동 498-3)","35.414717, 129.172434",1,"경남양산서창 (📞 010-2516-0235)"
"eeaa2067-a71c-535d-b4c7-bcfdd6578a13","부산 금정구 금강로 758 남화기수타워 201호 (청룡동 31-2)","35.274992, 129.089235",1,"부산남산 (📞 010-3591-6383)"
"088c5ec7-e30d-55fc-8213-2970b2a3497c","부산 금정구 부곡온천천로 126 삼승렉스풀 501호 (부곡동 225-36)","35.237284, 129.088962",3,"부산구서 (📞 010-9907-1914) | 부산북부중국어 (📞 010-3585-8663) | 부산부곡 (📞 051-516-7153)"
"135f1a4e-954f-5a6a-8d3d-5c652bc98340","부산 북구 금곡대로303번길 35 해경빌딩 504호 (화명동 2272-2)","35.235473, 129.011672",1,"부산화명남부 (📞 051-336-0056)"
"b5b82ae7-4870-518f-baaf-903ec2385f69","울산 울주군 삼남면 반구대로 321-3 (가천리 660-103)","35.525974, 129.099367",2,"울산삼남 (📞 010-6790-9573) | 울산언양 (📞 052-264-1036)"
"b6f69246-cdfb-55fe-9528-80904e4405d1","부산 동래구 금강로 69 온천프라자 306, 307호 (온천동 435-1)","35.215581, 129.077362",1,"부산온천 (📞 01038619963)"
"7f8567cc-ce74-58e4-9a32-8c083668662f","부산 해운대구 반송로 525번길 25 IT타워 202, 203호 (석대동 634)","35.219148, 129.120193",6,"부산재송 (📞 010-2695-4837) | 부산금사 (📞 01045708010) | 부산서동 (📞 010-8003-0005) | 부산반여 (📞 010-7932-2211) | 부산반송 (📞 010-5729-1914) | 부산동래 (📞 010-3608-0652)"
"78dfd6f6-6a58-5fff-b622-45d06404bdc4","부산 기장군 기장읍 배산로 66 (기장읍 서부리 447)","35.249349, 129.212139",2,"부산기장정관 (📞 010-4847-5982) | 부산기장 (📞 010-3595-5893)"
"37ab0c7e-bb18-54e1-a060-f8de39db1a86","부산 북구 덕천로 188 벽산라인타운 상가 303호 (만덕동 774-7)","35.210934, 129.024576",3,"부산덕천 (📞 051-341-9444) | 부산만덕 (📞 051-341-9444) | [집단] 부산만덕베트남어"
"8c81542e-db8e-5817-88cf-8d6c3a4ecb4a","부산 강서구 부산 강서구 낙동북로 172 (대저1동) 202,203,204호","35.2145, 128.947526",4,"부산사상 (📞 010-3800-4364) | 부산대저 (📞 010-4843-4041) | 부산구포 (📞 051-333-1914) | 부산모라 (📞 010-6554-8292)"
"85efc40d-8304-5a8f-bce7-755774c2cdb1","경남 김해시 김해대로2529번길 20-1 (어방동 1113-3)","35.23021, 128.903498",4,"경남김해활천 (📞 055-328-2074) | 경남김해수어 (📞 010-7931-2021) | 경남김해안동 (📞 010-3086-1914, 010-2291-7868) | 경남김해삼방 (📞 055-328-2074)"
"c3bcb067-2967-5cbb-b860-82f49dfa3f34","울산 울주군 온산읍 서영남길 82-4 (덕신리 1343-1)","35.438068, 129.304516",1,"울산온산 (📞 01055676533)"
"997dda87-69a5-5f4f-88c3-8e74cb1d0625","울산 동구 월봉11길 21 (화정동 869-2)","35.493781, 129.421148",1,"울산방어진 (📞 010 4543 8308)"
